customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_transaction_value
147,43,42.1,65.5,15.0,139.1
148,24,29.9,19.6,1.5,34.6
149,36,49.9,56.6,28.0,97.8
150,44,122.8,82.3,36.0,375.0
151,53,37.0,32.9,5.6,66.7
152,36,34.9,13.7,2.6,31.7
153,44,63.0,75.7,26.9,123.8
154,51,100.3,93.6,17.8,239.0
155,40,60.6,59.9,21.2,71.7
156,42,147.4,91.8,22.6,357.3
157,31,113.5,70.8,23.5,245.0
158,61,51.7,49.0,4.5,54.9
159,27,16.3,23.3,4.8,29.1
160,33,52.6,62.7,23.0,140.8
161,27,45.7,48.9,9.3,87.1
162,28,78.7,77.9,15.4,143.0
163,28,47.4,48.1,2.1,65.4
164,41,51.9,46.8,7.6,42.2
165,32,73.1,70.8,22.7,61.5
166,45,66.1,31.9,8.6,50.9
167,47,97.1,94.9,36.6,342.1
168,53,47.9,31.8,7.8,66.5
169,31,91.6,88.5,28.1,317.5
170,31,116.9,77.4,26.9,248.6
171,51,147.5,77.5,18.3,254.6
172,32,111.3,84.2,29.8,284.3
173,29,15.6,22.5,4.3,34.9
174,47,40.1,64.4,22.3,103.1
175,45,100.8,91.6,38.9,330.3
176,30,102.6,95.0,30.7,199.7
177,41,82.3,97.6,30.4,349.1
178,40,128.6,95.8,34.5,159.9
179,30,40.8,72.0,13.4,97.9
180,25,38.1,38.2,6.4,64.5
181,46,128.6,86.0,26.2,171.1
182,46,41.8,41.5,5.3,73.3
183,37,123.7,81.5,20.1,180.3
184,37,68.9,35.5,7.9,75.8
185,48,83.3,62.2,20.4,115.7
186,27,24.9,34.2,7.1,34.5
187,48,93.4,76.4,27.1,338.6
188,50,139.1,72.9,27.2,187.5
189,44,46.7,61.5,19.5,113.9
190,49,50.6,52.6,9.1,79.1
191,43,54.8,61.4,17.9,74.8
192,39,55.7,61.2,24.6,92.8
193,41,66.8,44.6,6.3,46.1
194,34,18.9,25.6,4.3,20.3
195,24,36.8,10.5,7.1,25.9
196,40,131.8,98.5,20.1,291.4
197,31,126.9,72.1,31.0,217.8
198,39,25.5,29.9,6.2,11.6
199,40,33.1,43.6,7.7,40.0
200,24,39.8,20.3,3.6,33.3
201,28,27.4,17.5,3.0,11.1
202,43,50.9,37.5,2.6,60.0
203,53,45.5,46.6,4.8,53.4
204,35,59.2,46.2,8.4,75.2
205,42,66.5,59.0,22.3,132.5
206,51,41.0,45.6,9.9,53.2
207,29,36.0,32.8,1.9,17.1
208,48,41.3,68.8,21.4,149.5
209,44,83.1,73.7,29.0,235.8
210,43,62.1,74.9,25.0,122.1
211,26,30.3,20.5,2.7,20.7
212,35,22.2,24.5,2.1,24.4
213,46,56.6,74.1,19.4,118.8
214,29,86.3,65.5,12.9,63.5
215,27,54.7,48.6,7.9,61.3
216,30,95.9,80.6,16.7,279.8
217,44,47.8,50.1,2.1,85.5
218,36,25.5,26.0,3.8,18.2
219,39,80.7,62.0,14.4,99.6
220,31,69.8,50.6,8.8,44.9
221,36,80.4,79.7,24.2,249.0
222,35,61.6,40.4,3.3,58.5
223,28,63.8,76.2,18.9,75.1
224,35,37.9,19.3,1.1,37.8
225,43,69.1,65.0,18.1,71.4
226,23,33.0,33.5,1.0,39.8
227,38,65.3,50.6,7.8,46.3
228,43,142.9,94.9,22.9,388.2
229,40,59.7,70.1,26.4,102.3
230,40,49.1,33.6,7.7,70.0
231,47,116.1,97.6,27.4,398.0
232,31,85.9,57.7,16.2,127.5
233,36,136.2,87.2,27.8,223.4
234,50,63.9,37.9,4.2,88.9
235,26,30.8,25.8,4.8,12.7
236,22,21.0,13.6,4.4,39.6
237,26,39.8,11.5,7.2,25.5
238,32,51.6,65.1,16.8,77.9
239,31,18.5,16.6,2.9,32.0
240,37,125.6,86.0,23.1,233.3
241,22,22.6,23.1,4.0,18.7
242,29,31.0,29.0,6.1,29.1
243,48,70.0,33.8,8.5,42.4
244,44,56.4,60.2,13.5,102.0
245,50,106.6,86.5,29.9,286.4
246,25,20.7,26.8,5.3,20.7
247,32,83.6,93.6,20.0,214.7
248,25,25.4,34.2,4.8,22.7
249,37,34.7,12.3,4.5,11.7
250,41,138.0,82.9,21.2,304.3
251,35,31.9,22.1,4.5,12.5
252,49,81.1,73.8,25.2,138.9
253,48,81.0,69.2,23.8,140.9
254,49,72.4,56.5,26.6,144.6
255,51,121.5,81.7,25.3,323.9
256,33,109.7,90.0,17.4,306.0
257,44,48.7,30.9,9.8,86.9
258,42,69.9,64.6,27.4,145.7
259,39,89.2,74.9,25.6,121.3
260,33,27.9,24.8,1.3,28.2
261,44,38.6,47.3,6.8,67.1
262,43,121.9,78.9,22.5,335.8
263,24,37.5,11.1,3.0,38.5
264,36,122.9,79.0,38.4,386.8
265,43,87.1,90.8,16.6,277.4
266,29,55.9,77.4,23.6,85.9
267,44,43.8,77.4,26.3,74.2
268,42,120.8,92.4,35.3,314.1
269,57,41.4,40.8,7.5,49.9
270,40,83.1,73.3,30.0,173.8
271,30,108.3,79.6,33.7,253.2
272,37,23.5,23.4,4.2,27.5
273,45,48.6,77.0,22.1,138.3
274,32,101.8,79.6,33.1,336.5
275,51,46.3,50.7,8.1,64.4
276,29,33.9,20.6,2.5,27.0
277,25,33.0,17.4,5.0,24.3
278,53,40.2,37.4,6.8,32.0
279,38,16.3,34.0,6.9,20.6
280,42,60.1,77.1,28.1,141.8
281,58,57.9,39.9,9.6,88.0
282,28,52.6,69.4,18.5,134.1
283,34,34.5,12.7,6.3,26.2
284,31,88.6,76.9,16.3,310.0
285,33,29.3,30.1,4.8,29.8
286,48,45.2,39.3,6.9,68.0
287,33,116.9,82.8,18.3,371.7
288,53,86.1,91.6,25.5,376.3
289,23,26.4,19.8,2.9,24.3
290,33,69.5,56.7,27.0,76.0
291,40,52.7,71.1,17.0,104.5
292,47,41.4,68.1,15.9,149.0
293,31,35.7,52.3,4.8,39.3
294,37,98.4,71.4,29.2,221.0
295,35,98.2,92.8,18.4,283.8
296,46,100.0,82.9,21.7,347.3
297,49,43.0,70.8,25.8,149.5
298,54,126.8,83.9,25.3,312.7
299,30,15.4,15.8,2.7,30.5
300,27,33.8,27.7,6.5,14.3
301,60,55.0,31.8,7.5,44.5
302,37,115.5,87.9,15.8,240.9
303,38,107.8,72.6,30.4,178.5
304,34,148.7,77.7,31.4,199.5
305,43,62.6,60.0,15.0,81.6
306,43,49.9,61.2,17.5,110.0
307,35,83.7,81.4,24.1,398.9
308,32,55.4,39.7,7.4,45.6
309,30,47.0,65.4,21.9,96.2
310,58,37.3,40.9,4.7,50.5
311,51,68.2,42.4,6.1,58.9
312,31,30.1,31.1,4.7,68.0
313,38,51.9,40.8,2.4,39.9
314,30,47.2,35.0,6.1,74.2
315,51,138.0,80.1,19.3,328.0
316,44,92.2,95.7,20.7,359.3
317,24,38.9,31.6,6.7,29.7
318,54,96.3,72.4,34.4,180.5
319,53,46.9,32.1,6.9,82.9
320,34,30.6,32.1,5.3,17.0
321,26,21.0,27.0,6.2,17.1
322,30,33.8,30.0,6.8,15.6
323,42,134.8,87.0,33.5,369.6
324,43,55.1,36.2,3.3,41.2
325,28,44.4,79.8,21.7,148.6
326,50,31.6,30.8,5.1,39.6
327,52,98.4,80.8,17.2,384.2
328,41,131.1,96.5,31.8,214.5
329,40,46.4,33.3,2.2,51.6
330,26,24.1,26.1,5.0,20.7
331,37,56.2,50.6,2.5,76.6
332,52,136.9,91.5,38.9,154.6
333,46,36.2,45.9,6.8,40.8
334,36,41.5,37.7,4.8,67.3
335,28,34.9,14.6,6.5,27.9
336,31,99.1,82.4,18.0,195.3
337,46,31.3,52.0,3.9,63.4
338,29,67.6,32.1,9.4,79.6
339,49,73.3,79.7,16.1,95.1
340,25,63.8,45.3,2.7,59.3
341,46,82.8,88.1,37.7,209.7
342,33,116.2,83.2,18.7,232.0
343,38,19.5,34.0,2.0,22.4
344,38,29.9,34.7,4.8,37.7
345,31,104.9,93.5,28.9,151.3
346,44,81.5,89.9,39.1,290.0
347,48,60.4,53.8,7.6,47.9
348,31,79.2,61.9,28.9,71.2
349,33,29.0,20.6,7.3,13.3
350,40,51.2,56.7,26.9,82.9
351,35,35.8,19.9,5.7,16.1
352,44,98.0,83.9,36.7,331.8
353,49,46.8,59.9,15.2,83.6
354,26,37.2,16.5,1.1,38.0
355,32,111.7,98.0,22.9,276.8
356,25,23.9,26.2,4.4,27.5
357,43,107.6,89.5,17.7,314.5
358,38,81.5,91.6,25.4,172.2
359,36,118.3,77.0,24.8,298.6
360,26,15.1,12.9,4.3,28.2
361,53,103.7,79.3,38.7,391.8
362,45,68.5,45.5,9.4,75.7
363,27,21.1,14.0,2.3,18.6
364,48,111.5,92.5,31.3,305.2
365,38,29.4,25.2,4.0,32.1
366,30,25.1,11.6,2.8,17.4
367,44,72.7,59.8,17.3,115.8
368,23,30.0,26.6,2.2,37.4
369,50,130.8,94.5,20.3,276.5
370,44,87.2,74.1,12.1,60.1
371,28,23.7,28.4,4.2,16.7
372,61,59.9,33.8,3.7,57.8
373,25,25.6,22.7,2.7,13.4
374,29,27.6,24.9,1.5,32.5
375,30,16.6,33.7,7.8,34.3
376,41,64.5,37.8,6.3,80.4
377,39,148.0,79.9,27.1,199.0
378,33,24.7,34.0,7.3,15.9
379,38,81.3,69.7,18.4,132.0
380,43,60.2,73.8,21.6,121.0
381,34,30.4,34.5,5.4,17.8
382,24,23.7,33.2,6.8,39.0
383,33,50.7,56.7,22.7,126.5
384,37,32.7,30.9,5.9,30.4
385,35,30.0,32.6,7.9,32.3
386,31,57.9,79.7,24.3,145.4
387,60,45.7,43.1,6.1,39.9
388,23,28.9,24.7,5.0,21.4
389,37,51.0,55.0,28.5,135.9
390,32,84.2,73.5,17.0,85.3
391,33,35.8,18.6,6.4,20.9
392,32,38.4,29.6,5.7,27.4
393,41,40.3,45.1,5.5,76.5
394,38,21.0,15.1,2.8,18.2
395,32,36.5,41.9,7.7,44.8
396,25,35.0,26.2,5.9,33.9
397,52,96.5,81.1,16.6,350.3
398,38,136.3,85.2,39.2,254.4
399,31,40.0,76.8,26.3,116.5
400,29,63.0,79.7,20.7,148.8
401,33,25.4,32.1,3.3,13.7
402,51,142.5,75.6,17.0,209.9
403,54,69.2,45.1,4.9,68.9
404,39,35.7,48.8,8.2,69.5
405,41,31.2,31.3,3.1,42.8
406,56,50.7,33.5,7.4,67.2
407,28,41.1,79.7,12.7,147.1
408,32,144.9,77.0,25.0,188.1
409,22,22.9,14.2,4.9,38.1
410,30,60.2,41.5,4.3,84.0
411,43,38.1,39.9,2.3,58.5
412,33,81.1,77.6,21.4,100.6
413,35,68.9,77.6,26.7,128.1
414,43,128.5,94.6,16.0,317.6
415,32,85.1,60.4,27.9,110.3
416,56,57.0,30.1,5.7,64.3
417,56,58.6,52.0,7.9,71.8
418,39,60.5,59.1,16.0,88.6
419,36,31.5,48.6,6.4,33.5
420,40,143.1,89.6,22.9,213.6
421,26,39.3,31.2,6.1,17.1
422,34,45.6,31.7,7.1,74.0
423,48,141.6,87.2,15.7,318.9
424,31,43.9,39.3,2.0,48.0
425,38,119.2,92.5,28.9,288.1
426,35,107.5,98.7,18.3,175.5
427,26,22.3,18.2,5.7,32.6
428,37,39.4,22.9,3.3,33.9
429,59,40.7,37.2,7.3,88.1
430,35,130.3,76.9,39.9,393.7
431,40,141.9,83.3,23.3,262.2
432,32,105.7,82.4,35.7,333.4
433,40,123.4,89.5,18.8,165.3
434,43,143.3,77.0,35.2,164.8
435,39,149.4,78.5,24.0,246.0
436,37,33.7,23.5,5.1,39.0
437,37,17.2,25.8,6.2,35.4
438,53,102.1,90.6,25.9,213.7
439,43,54.1,62.5,17.0,129.4
440,49,35.2,44.0,8.2,72.5
441,24,35.7,30.0,5.4,16.5
442,37,59.9,41.8,2.5,87.5
443,38,65.5,58.0,17.6,132.2
444,27,38.6,44.9,6.8,52.3
445,39,34.1,34.7,8.3,72.9
446,53,49.3,52.4,7.4,38.2
447,31,55.3,35.0,5.3,75.1
448,27,34.1,12.6,3.3,12.3
449,51,50.6,43.4,4.9,51.2
450,56,65.6,36.0,4.8,36.3
451,36,40.4,40.9,6.7,34.4
452,28,55.7,57.4,15.2,148.9
453,39,126.0,79.3,33.6,353.8
454,25,38.0,29.8,1.2,29.5
455,35,20.8,13.3,7.1,38.9
456,44,41.1,36.9,5.5,88.8
457,35,67.2,58.4,28.1,66.7
458,29,57.1,50.9,8.9,74.9
459,48,92.2,73.0,31.5,341.1
460,46,110.5,98.1,32.7,307.8
461,34,20.4,19.4,1.3,28.5
462,23,35.1,32.6,5.3,39.4
463,44,34.1,42.6,3.8,32.3
464,44,49.1,79.1,19.7,116.9
465,32,100.8,87.0,32.2,368.3
466,39,39.7,13.8,5.2,21.4
467,39,29.7,19.8,4.1,37.1
468,45,106.0,82.9,36.1,217.0
469,57,65.7,31.6,9.1,56.9
470,44,98.2,97.2,31.8,290.1
471,39,103.4,70.8,15.6,357.9
472,29,17.9,26.2,6.2,27.5
473,38,82.2,63.1,24.4,146.5
474,38,38.7,34.7,6.3,21.3
475,42,124.4,92.6,19.3,252.4
476,34,56.0,69.9,29.9,99.2
477,37,87.3,76.1,17.3,66.9
478,28,81.6,75.1,27.6,65.4
479,48,63.1,31.2,7.8,76.4
480,53,49.2,46.6,2.9,47.3
481,54,43.0,47.8,8.5,40.9
482,34,39.2,11.1,7.2,25.8
483,37,23.2,24.3,4.6,38.8
484,49,102.9,74.5,22.6,369.2
485,38,46.3,40.2,2.5,50.9
486,39,27.1,21.2,8.0,15.3
487,37,17.5,26.6,1.0,14.8
488,43,87.3,91.7,29.5,218.5
489,29,30.2,19.5,6.2,16.2
490,33,127.1,78.3,22.7,347.2
491,47,74.1,62.9,14.4,116.9
492,51,46.6,51.2,9.2,82.6
493,36,52.6,68.0,21.4,113.0
494,30,21.5,21.3,1.2,18.4
495,40,84.7,91.2,28.6,170.4
496,39,36.7,20.2,4.9,17.6
497,52,89.1,90.6,17.3,157.3
498,51,98.3,77.4,37.7,212.4
499,46,47.4,57.3,26.7,140.5
500,46,81.6,79.4,20.5,66.0
501,50,65.8,35.1,6.1,55.2
502,24,24.3,16.8,5.5,22.3
503,51,138.3,70.3,33.7,339.7
504,49,50.9,78.4,20.4,100.1
505,46,72.9,68.3,13.9,75.5
506,32,78.3,72.3,29.4,95.4
507,31,48.1,34.6,8.8,83.0
508,49,88.5,75.9,37.2,311.5
509,41,42.9,58.4,12.0,141.3
510,31,88.5,78.3,25.3,85.1
511,50,121.3,83.0,39.6,187.4
512,51,30.9,44.6,8.7,62.9
513,52,112.6,71.8,29.1,389.4
514,24,34.8,25.1,7.5,29.5
515,30,109.7,74.6,20.9,367.3
516,40,51.6,61.6,22.0,78.0
517,34,18.0,11.2,3.7,11.1
518,29,17.6,30.0,2.2,29.6
519,28,42.8,61.4,21.5,75.4
520,25,38.6,25.0,5.9,36.4
521,53,100.8,82.9,19.3,168.7
522,48,61.6,37.7,9.3,87.2
523,41,44.5,70.0,18.1,142.6
524,49,123.7,72.7,33.9,181.9
525,49,118.1,92.8,33.9,154.5
526,34,35.6,36.4,9.0,41.0
527,31,80.9,78.3,13.7,100.5
528,38,38.8,21.2,2.3,26.3
529,57,47.2,51.9,6.8,44.8
530,38,17.1,23.2,4.1,34.1
531,58,45.8,53.3,3.0,74.2
532,28,23.7,21.6,5.5,11.4
533,57,68.8,40.9,3.9,72.3
534,30,134.1,73.9,39.2,263.4
535,34,45.9,59.2,18.3,128.6
536,53,112.5,97.3,28.5,274.5
537,27,23.3,28.3,5.9,15.0
538,38,31.4,19.6,5.8,20.2
539,51,59.5,37.2,8.4,89.8
540,38,137.3,86.2,32.8,228.6
541,30,28.5,25.8,2.8,14.2
542,37,141.0,83.0,16.1,190.4
543,31,18.2,18.4,6.2,14.8
544,54,124.5,71.5,21.4,164.9
545,26,39.5,22.3,3.3,29.0
546,36,49.1,63.0,19.5,141.7
547,58,40.4,34.9,2.5,50.5
548,36,42.6,59.0,18.0,66.9
549,52,39.1,45.9,3.8,49.3
550,35,30.5,19.2,4.2,32.4
551,38,38.7,13.7,7.5,24.8
552,49,111.0,88.2,30.8,297.9
553,32,47.0,43.7,6.2,51.0
554,33,37.2,10.7,5.1,23.2
555,43,89.7,70.1,17.5,135.4
556,48,60.7,78.9,21.7,114.5
557,39,145.1,77.6,34.5,356.3
558,33,121.8,93.5,27.0,160.2
559,35,29.7,34.5,4.4,37.2
560,31,89.3,95.9,38.1,271.8
561,25,34.3,11.7,6.9,23.1
562,45,44.9,72.7,18.2,60.6
563,42,83.5,57.1,15.8,127.7
564,61,60.4,54.2,5.5,46.7
565,30,137.7,80.7,23.1,394.4
566,52,88.6,91.8,23.1,399.3
567,43,43.4,48.7,6.6,89.2
568,38,102.2,96.1,24.4,224.2
569,45,115.5,74.8,16.6,179.4
570,46,79.4,77.6,16.8,133.1
571,35,28.1,19.0,7.1,21.8
572,32,38.0,11.5,2.9,34.2
573,28,45.8,72.1,29.1,72.3
574,38,28.8,24.3,7.9,12.3
575,42,145.6,96.3,21.9,362.9
576,33,76.4,62.9,19.1,81.3
577,32,29.8,19.2,4.2,26.5
578,30,131.6,85.8,15.8,367.1
579,50,82.0,75.0,19.5,246.9
580,59,68.1,35.7,9.0,78.5
581,52,124.7,85.5,29.8,348.4
582,35,27.3,23.1,4.0,10.8
583,32,43.5,64.9,15.3,74.1
584,45,68.0,78.6,13.5,82.9
585,28,62.2,73.8,21.6,108.4
586,33,114.7,75.3,32.1,397.8
587,55,39.3,37.0,8.4,85.8
588,25,42.5,42.1,6.1,53.2
589,37,28.9,23.2,2.7,12.8
590,35,32.9,23.2,4.7,24.4
591,36,27.2,29.3,5.8,23.4
592,44,40.5,76.4,25.2,145.2
593,60,55.3,39.3,4.2,43.9
594,35,58.6,74.6,16.6,144.5
595,47,64.1,74.4,24.1,125.2
596,36,30.5,23.3,7.3,33.7
597,30,97.7,80.8,24.5,301.4
598,29,46.8,49.5,5.8,59.9
599,60,51.9,52.0,7.4,62.8
600,55,42.3,50.6,2.5,55.1
601,26,33.2,25.9,7.2,24.2
602,35,18.7,13.3,5.8,35.3
603,45,119.0,77.7,22.6,333.0
604,54,80.1,87.9,30.2,211.9
605,52,66.6,51.5,2.3,77.2
606,43,80.6,75.6,26.3,89.1
607,26,15.5,32.9,1.8,27.3
608,27,26.3,32.8,3.1,25.7
609,60,68.9,41.2,3.3,40.8
610,48,56.2,33.8,9.0,62.3
611,36,33.0,30.1,7.9,28.1
612,47,122.3,79.5,36.7,398.3
613,35,86.0,56.0,17.2,78.7
614,35,30.5,32.0,4.5,30.9
615,36,31.7,44.5,5.6,86.9
616,27,30.5,40.2,7.2,30.9
617,44,55.2,58.5,23.0,87.6
618,60,66.3,33.3,6.7,65.9
619,45,62.0,77.0,21.1,105.7
620,28,33.0,17.7,4.8,25.3
621,45,59.2,60.4,20.0,64.4
622,27,28.4,19.5,4.2,28.1
623,35,44.7,79.1,14.4,73.7
624,22,24.1,24.5,5.4,10.4
625,28,36.3,21.2,1.7,21.1
626,58,36.7,36.2,8.7,51.4
627,37,22.0,10.6,5.5,15.3
628,33,40.3,66.1,13.5,121.4
629,34,79.0,69.1,16.7,122.5
630,41,59.4,37.5,4.6,77.6
631,36,70.2,64.7,27.5,87.8
632,46,80.5,76.6,15.9,177.0
633,46,107.4,99.1,21.5,314.2
634,29,69.8,54.5,7.2,78.3
635,30,73.3,58.0,22.3,83.1
636,39,27.3,34.9,7.3,23.9
637,34,36.5,10.2,4.6,22.5
638,32,68.2,71.6,24.2,143.9
639,38,120.4,89.0,34.9,249.0
640,37,78.6,72.9,22.4,61.3
641,34,147.2,84.6,17.7,287.0
642,26,33.4,17.0,2.8,10.2
643,39,38.1,31.9,2.8,29.8
644,30,82.3,59.6,29.2,93.9
645,43,149.4,99.1,38.6,346.0
646,50,116.5,71.9,35.8,299.7
647,45,55.8,75.2,27.8,87.2
648,34,52.7,76.6,13.9,71.3
649,39,61.1,49.0,3.5,35.3
650,47,73.6,75.7,24.1,134.2
651,35,16.2,14.2,6.2,12.5
652,35,56.2,71.5,23.7,82.6
653,47,87.3,62.4,12.0,84.5
654,51,46.4,37.8,7.4,66.3
655,45,87.3,72.1,18.0,105.1
656,31,88.7,68.6,17.0,123.8
657,57,68.3,43.2,3.9,60.0
658,40,83.6,74.6,16.9,142.1
659,39,30.3,10.5,7.1,38.0
660,47,41.2,57.9,14.3,77.0
661,23,28.6,32.7,5.4,13.5
662,42,81.2,64.6,20.3,87.3
663,45,43.7,73.6,24.8,81.1
664,39,67.8,76.1,26.3,75.8
665,39,36.3,23.8,4.9,36.3
666,34,20.6,23.4,5.2,27.4
667,37,62.2,40.8,10.0,63.5
668,39,28.8,14.1,3.9,33.3
669,36,107.5,94.8,34.7,306.1
670,54,104.2,79.5,34.3,171.6
671,33,68.4,69.5,20.8,118.0
672,42,69.2,34.8,8.3,84.5
673,30,52.3,66.8,23.9,127.6
674,42,41.9,43.5,4.8,54.9
675,32,18.5,26.0,2.3,20.4
676,23,21.4,17.4,3.3,35.5
677,22,33.7,22.6,2.6,37.0
678,48,84.1,80.0,34.6,326.9
679,48,63.6,57.3,23.3,109.5
680,28,15.8,27.4,3.1,37.7
681,26,55.2,36.2,7.6,55.7
682,31,53.5,57.0,29.9,74.1
683,40,78.5,64.9,26.9,75.4
684,33,27.4,10.9,7.4,17.8
685,39,80.7,70.3,18.7,83.0
686,30,32.3,19.7,7.6,14.1
687,30,88.8,90.3,23.1,321.6
688,63,38.0,51.9,7.9,30.8
689,37,134.0,95.3,34.0,306.6
690,35,102.9,90.0,35.2,340.6
691,41,60.6,53.5,2.1,61.4
692,28,66.0,47.8,9.5,66.2
693,43,58.2,43.4,6.3,55.8
694,39,63.9,31.6,4.7,34.0
695,49,63.3,56.9,15.0,65.5
696,47,102.9,85.5,17.2,237.7
