customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_transaction_value,cluster,persona
41,51,111.2,91.7,15.4,235.3,1,High Roller
42,36,30.7,27.4,4.2,28.8,0,Budget Shopper
43,52,110.2,96.9,16.8,388.7,1,High Roller
44,31,71.2,71.0,17.5,137.4,3,Loyal Regular
45,37,135.7,97.6,30.0,385.2,1,High Roller
46,31,114.1,96.2,37.5,255.4,1,High Roller
47,45,86.4,57.3,17.1,120.5,3,Loyal Regular
48,43,35.8,40.8,9.2,80.8,2,Occasional Buyer
49,31,102.2,95.7,37.7,219.2,1,High Roller
50,47,67.4,73.3,18.2,96.7,3,Loyal Regular
51,32,61.3,49.5,5.7,53.9,0,Budget Shopper
52,40,73.7,74.2,17.5,104.3,3,Loyal Regular
53,44,114.9,88.5,32.6,289.9,1,High Roller
54,50,35.9,30.2,7.0,56.9,2,Occasional Buyer
55,31,35.2,25.8,7.1,34.1,0,Budget Shopper
56,38,39.4,20.3,1.2,20.4,0,Budget Shopper
57,63,48.5,53.0,7.6,73.7,2,Occasional Buyer
58,39,34.4,33.5,7.3,27.9,0,Budget Shopper
59,25,20.8,33.6,5.5,28.2,0,Budget Shopper
60,28,60.0,74.6,16.8,149.1,3,Loyal Regular
61,50,86.6,90.2,26.1,367.0,1,High Roller
62,30,32.6,19.0,3.1,34.3,0,Budget Shopper
63,52,39.4,37.6,4.3,63.8,2,Occasional Buyer
64,24,23.0,30.7,1.3,27.9,0,Budget Shopper
65,51,32.8,53.5,6.1,54.6,2,Occasional Buyer
66,55,62.2,49.3,6.4,34.0,2,Occasional Buyer
67,27,46.4,46.4,4.1,39.6,0,Budget Shopper
68,33,74.2,77.6,27.1,71.5,3,Loyal Regular
69,22,28.5,27.1,5.3,38.3,0,Budget Shopper
70,28,35.7,49.4,4.2,59.8,0,Budget Shopper
71,24,28.9,29.2,7.6,35.5,0,Budget Shopper
72,50,143.2,72.0,28.3,185.5,1,High Roller
73,53,50.0,30.3,2.1,51.4,2,Occasional Buyer
74,52,54.7,33.9,5.8,76.8,2,Occasional Buyer
75,43,128.2,81.9,27.0,321.5,1,High Roller
76,44,140.8,76.2,17.8,217.4,1,High Roller
77,57,38.6,36.8,4.0,33.8,2,Occasional Buyer
78,33,29.0,32.1,2.3,18.4,0,Budget Shopper
79,25,48.3,49.5,9.7,75.8,0,Budget Shopper
80,32,95.9,72.2,30.1,317.1,1,High Roller
81,53,47.6,54.5,6.1,36.9,2,Occasional Buyer
82,26,18.0,18.5,1.6,12.8,0,Budget Shopper
83,53,109.8,80.4,24.3,396.9,1,High Roller
84,35,39.5,14.4,1.1,32.9,0,Budget Shopper
85,39,93.0,97.5,25.6,171.8,1,High Roller
86,43,52.6,51.7,6.6,84.4,2,Occasional Buyer
87,35,54.0,74.6,28.0,95.9,3,Loyal Regular
88,39,50.5,30.1,9.5,54.9,0,Budget Shopper
89,49,81.3,62.1,28.7,147.3,3,Loyal Regular
90,54,149.1,74.1,32.4,251.1,1,High Roller
91,37,110.2,83.2,30.3,385.8,1,High Roller
92,51,131.7,94.2,36.1,213.5,1,High Roller
93,35,66.7,39.1,7.8,83.7,0,Budget Shopper
94,35,16.1,12.7,3.7,13.7,0,Budget Shopper
95,42,61.7,59.1,14.1,109.2,3,Loyal Regular
96,34,147.5,76.1,28.1,221.8,1,High Roller
97,42,85.5,67.7,21.0,64.5,3,Loyal Regular
98,26,20.8,24.5,7.0,36.4,0,Budget Shopper
99,22,19.3,13.9,2.8,26.5,0,Budget Shopper
100,38,41.2,75.9,29.5,72.2,3,Loyal Regular
101,26,58.3,39.7,3.8,65.8,0,Budget Shopper
102,35,90.2,81.0,16.7,156.5,3,Loyal Regular
103,35,47.9,78.7,27.8,141.6,3,Loyal Regular
104,38,94.0,84.7,16.6,295.5,1,High Roller
105,50,48.0,54.4,2.8,62.9,2,Occasional Buyer
106,46,67.6,30.2,8.2,67.5,2,Occasional Buyer
107,63,50.0,40.8,5.7,42.5,2,Occasional Buyer
108,35,80.2,57.1,18.9,93.7,3,Loyal Regular
109,30,17.9,20.4,7.0,37.7,0,Budget Shopper
110,30,59.1,76.0,14.6,105.5,3,Loyal Regular
111,45,44.3,50.1,4.2,42.6,2,Occasional Buyer
112,47,67.3,65.4,14.9,75.4,3,Loyal Regular
113,33,43.2,64.9,20.5,100.6,3,Loyal Regular
114,33,52.6,76.1,20.7,106.3,3,Loyal Regular
115,30,34.0,25.5,1.7,12.5,0,Budget Shopper
116,37,141.4,96.4,36.8,209.7,1,High Roller
117,36,30.6,18.4,6.8,20.9,0,Budget Shopper
118,30,81.9,71.8,24.5,92.7,3,Loyal Regular
119,27,55.3,44.4,7.6,30.4,0,Budget Shopper
120,40,114.2,90.0,18.5,157.5,1,High Roller
121,44,45.3,57.9,28.9,138.5,3,Loyal Regular
122,51,119.3,85.7,17.9,365.0,1,High Roller
123,55,60.6,45.6,8.1,32.3,2,Occasional Buyer
124,51,132.4,74.4,17.6,292.7,1,High Roller
125,25,28.9,28.9,2.8,15.8,0,Budget Shopper
126,30,55.8,39.9,7.7,42.0,0,Budget Shopper
127,35,61.7,51.3,3.9,87.6,0,Budget Shopper
128,49,142.3,72.4,33.3,196.9,1,High Roller
129,41,46.7,57.4,27.0,142.7,3,Loyal Regular
130,41,85.6,69.1,15.3,72.6,3,Loyal Regular
131,25,37.0,51.7,4.3,87.0,0,Budget Shopper
132,28,64.6,59.9,23.7,130.3,3,Loyal Regular
133,37,124.6,91.2,15.8,384.1,1,High Roller
134,44,59.6,75.1,18.1,100.0,3,Loyal Regular
135,54,30.4,54.9,7.4,79.7,2,Occasional Buyer
136,24,21.4,25.3,1.6,10.2,0,Budget Shopper
137,24,36.9,22.9,7.8,28.1,0,Budget Shopper
138,33,30.7,31.8,7.9,33.0,0,Budget Shopper
139,28,37.7,16.8,5.5,10.0,0,Budget Shopper
140,39,29.3,13.2,6.7,34.6,0,Budget Shopper
141,25,20.9,18.1,6.2,29.5,0,Budget Shopper
142,36,34.9,27.3,2.5,12.5,0,Budget Shopper
143,29,32.2,46.1,9.8,34.2,0,Budget Shopper
144,34,139.8,84.8,21.2,367.7,1,High Roller
145,41,84.2,65.4,19.0,119.4,3,Loyal Regular
146,32,78.2,68.1,16.1,120.0,3,Loyal Regular
147,43,42.1,65.5,15.0,139.1,3,Loyal Regular
148,24,29.9,19.6,1.5,34.6,0,Budget Shopper
149,36,49.9,56.6,28.0,97.8,3,Loyal Regular
150,44,122.8,82.3,36.0,375.0,1,High Roller
151,53,37.0,32.9,5.6,66.7,2,Occasional Buyer
152,36,34.9,13.7,2.6,31.7,0,Budget Shopper
153,44,63.0,75.7,26.9,123.8,3,Loyal Regular
154,51,100.3,93.6,17.8,239.0,1,High Roller
155,40,60.6,59.9,21.2,71.7,3,Loyal Regular
156,42,147.4,91.8,22.6,357.3,1,High Roller
157,31,113.5,70.8,23.5,245.0,1,High Roller
158,61,51.7,49.0,4.5,54.9,2,Occasional Buyer
159,27,16.3,23.3,4.8,29.1,0,Budget Shopper
160,33,52.6,62.7,23.0,140.8,3,Loyal Regular
161,27,45.7,48.9,9.3,87.1,0,Budget Shopper
162,28,78.7,77.9,15.4,143.0,3,Loyal Regular
163,28,47.4,48.1,2.1,65.4,0,Budget Shopper
164,41,51.9,46.8,7.6,42.2,2,Occasional Buyer
165,32,73.1,70.8,22.7,61.5,3,Loyal Regular
166,45,66.1,31.9,8.6,50.9,2,Occasional Buyer
167,47,97.1,94.9,36.6,342.1,1,High Roller
168,53,47.9,31.8,7.8,66.5,2,Occasional Buyer
169,31,91.6,88.5,28.1,317.5,1,High Roller
170,31,116.9,77.4,26.9,248.6,1,High Roller
171,51,147.5,77.5,18.3,254.6,1,High Roller
172,32,111.3,84.2,29.8,284.3,1,High Roller
173,29,15.6,22.5,4.3,34.9,0,Budget Shopper
174,47,40.1,64.4,22.3,103.1,3,Loyal Regular
175,45,100.8,91.6,38.9,330.3,1,High Roller
176,30,102.6,95.0,30.7,199.7,1,High Roller
177,41,82.3,97.6,30.4,349.1,1,High Roller
178,40,128.6,95.8,34.5,159.9,1,High Roller
179,30,40.8,72.0,13.4,97.9,3,Loyal Regular
180,25,38.1,38.2,6.4,64.5,0,Budget Shopper
181,46,128.6,86.0,26.2,171.1,1,High Roller
182,46,41.8,41.5,5.3,73.3,2,Occasional Buyer
183,37,123.7,81.5,20.1,180.3,1,High Roller
184,37,68.9,35.5,7.9,75.8,0,Budget Shopper
185,48,83.3,62.2,20.4,115.7,3,Loyal Regular
186,27,24.9,34.2,7.1,34.5,0,Budget Shopper
187,48,93.4,76.4,27.1,338.6,1,High Roller
188,50,139.1,72.9,27.2,187.5,1,High Roller
189,44,46.7,61.5,19.5,113.9,3,Loyal Regular
190,49,50.6,52.6,9.1,79.1,2,Occasional Buyer
191,43,54.8,61.4,17.9,74.8,3,Loyal Regular
192,39,55.7,61.2,24.6,92.8,3,Loyal Regular
193,41,66.8,44.6,6.3,46.1,2,Occasional Buyer
194,34,18.9,25.6,4.3,20.3,0,Budget Shopper
195,24,36.8,10.5,7.1,25.9,0,Budget Shopper
196,40,131.8,98.5,20.1,291.4,1,High Roller
197,31,126.9,72.1,31.0,217.8,1,High Roller
198,39,25.5,29.9,6.2,11.6,0,Budget Shopper
199,40,33.1,43.6,7.7,40.0,0,Budget Shopper
200,24,39.8,20.3,3.6,33.3,0,Budget Shopper
201,28,27.4,17.5,3.0,11.1,0,Budget Shopper
202,43,50.9,37.5,2.6,60.0,2,Occasional Buyer
203,53,45.5,46.6,4.8,53.4,2,Occasional Buyer
204,35,59.2,46.2,8.4,75.2,0,Budget Shopper
205,42,66.5,59.0,22.3,132.5,3,Loyal Regular
206,51,41.0,45.6,9.9,53.2,2,Occasional Buyer
207,29,36.0,32.8,1.9,17.1,0,Budget Shopper
208,48,41.3,68.8,21.4,149.5,3,Loyal Regular
209,44,83.1,73.7,29.0,235.8,1,High Roller
210,43,62.1,74.9,25.0,122.1,3,Loyal Regular
211,26,30.3,20.5,2.7,20.7,0,Budget Shopper
212,35,22.2,24.5,2.1,24.4,0,Budget Shopper
213,46,56.6,74.1,19.4,118.8,3,Loyal Regular
214,29,86.3,65.5,12.9,63.5,3,Loyal Regular
215,27,54.7,48.6,7.9,61.3,0,Budget Shopper
216,30,95.9,80.6,16.7,279.8,1,High Roller
217,44,47.8,50.1,2.1,85.5,2,Occasional Buyer
218,36,25.5,26.0,3.8,18.2,0,Budget Shopper
219,39,80.7,62.0,14.4,99.6,3,Loyal Regular
220,31,69.8,50.6,8.8,44.9,0,Budget Shopper
221,36,80.4,79.7,24.2,249.0,1,High Roller
222,35,61.6,40.4,3.3,58.5,0,Budget Shopper
223,28,63.8,76.2,18.9,75.1,3,Loyal Regular
224,35,37.9,19.3,1.1,37.8,0,Budget Shopper
225,43,69.1,65.0,18.1,71.4,3,Loyal Regular
226,23,33.0,33.5,1.0,39.8,0,Budget Shopper
227,38,65.3,50.6,7.8,46.3,0,Budget Shopper
228,43,142.9,94.9,22.9,388.2,1,High Roller
229,40,59.7,70.1,26.4,102.3,3,Loyal Regular
230,40,49.1,33.6,7.7,70.0,0,Budget Shopper
231,47,116.1,97.6,27.4,398.0,1,High Roller
232,31,85.9,57.7,16.2,127.5,3,Loyal Regular
233,36,136.2,87.2,27.8,223.4,1,High Roller
234,50,63.9,37.9,4.2,88.9,2,Occasional Buyer
235,26,30.8,25.8,4.8,12.7,0,Budget Shopper
236,22,21.0,13.6,4.4,39.6,0,Budget Shopper
237,26,39.8,11.5,7.2,25.5,0,Budget Shopper
238,32,51.6,65.1,16.8,77.9,3,Loyal Regular
239,31,18.5,16.6,2.9,32.0,0,Budget Shopper
240,37,125.6,86.0,23.1,233.3,1,High Roller
241,22,22.6,23.1,4.0,18.7,0,Budget Shopper
242,29,31.0,29.0,6.1,29.1,0,Budget Shopper
243,48,70.0,33.8,8.5,42.4,2,Occasional Buyer
244,44,56.4,60.2,13.5,102.0,3,Loyal Regular
245,50,106.6,86.5,29.9,286.4,1,High Roller
246,25,20.7,26.8,5.3,20.7,0,Budget Shopper
247,32,83.6,93.6,20.0,214.7,3,Loyal Regular
248,25,25.4,34.2,4.8,22.7,0,Budget Shopper
249,37,34.7,12.3,4.5,11.7,0,Budget Shopper
250,41,138.0,82.9,21.2,304.3,1,High Roller
251,35,31.9,22.1,4.5,12.5,0,Budget Shopper
252,49,81.1,73.8,25.2,138.9,3,Loyal Regular
253,48,81.0,69.2,23.8,140.9,3,Loyal Regular
254,49,72.4,56.5,26.6,144.6,3,Loyal Regular
255,51,121.5,81.7,25.3,323.9,1,High Roller
256,33,109.7,90.0,17.4,306.0,1,High Roller
257,44,48.7,30.9,9.8,86.9,2,Occasional Buyer
258,42,69.9,64.6,27.4,145.7,3,Loyal Regular
259,39,89.2,74.9,25.6,121.3,3,Loyal Regular
260,33,27.9,24.8,1.3,28.2,0,Budget Shopper
261,44,38.6,47.3,6.8,67.1,2,Occasional Buyer
262,43,121.9,78.9,22.5,335.8,1,High Roller
263,24,37.5,11.1,3.0,38.5,0,Budget Shopper
264,36,122.9,79.0,38.4,386.8,1,High Roller
265,43,87.1,90.8,16.6,277.4,1,High Roller
266,29,55.9,77.4,23.6,85.9,3,Loyal Regular
267,44,43.8,77.4,26.3,74.2,3,Loyal Regular
268,42,120.8,92.4,35.3,314.1,1,High Roller
269,57,41.4,40.8,7.5,49.9,2,Occasional Buyer
270,40,83.1,73.3,30.0,173.8,3,Loyal Regular
271,30,108.3,79.6,33.7,253.2,1,High Roller
272,37,23.5,23.4,4.2,27.5,0,Budget Shopper
273,45,48.6,77.0,22.1,138.3,3,Loyal Regular
274,32,101.8,79.6,33.1,336.5,1,High Roller
275,51,46.3,50.7,8.1,64.4,2,Occasional Buyer
276,29,33.9,20.6,2.5,27.0,0,Budget Shopper
277,25,33.0,17.4,5.0,24.3,0,Budget Shopper
278,53,40.2,37.4,6.8,32.0,2,Occasional Buyer
279,38,16.3,34.0,6.9,20.6,0,Budget Shopper
280,42,60.1,77.1,28.1,141.8,3,Loyal Regular
281,58,57.9,39.9,9.6,88.0,2,Occasional Buyer
282,28,52.6,69.4,18.5,134.1,3,Loyal Regular
283,34,34.5,12.7,6.3,26.2,0,Budget Shopper
284,31,88.6,76.9,16.3,310.0,1,High Roller
285,33,29.3,30.1,4.8,29.8,0,Budget Shopper
286,48,45.2,39.3,6.9,68.0,2,Occasional Buyer
287,33,116.9,82.8,18.3,371.7,1,High Roller
288,53,86.1,91.6,25.5,376.3,1,High Roller
289,23,26.4,19.8,2.9,24.3,0,Budget Shopper
290,33,69.5,56.7,27.0,76.0,3,Loyal Regular
291,40,52.7,71.1,17.0,104.5,3,Loyal Regular
292,47,41.4,68.1,15.9,149.0,3,Loyal Regular
293,31,35.7,52.3,4.8,39.3,0,Budget Shopper
294,37,98.4,71.4,29.2,221.0,1,High Roller
295,35,98.2,92.8,18.4,283.8,1,High Roller
296,46,100.0,82.9,21.7,347.3,1,High Roller
297,49,43.0,70.8,25.8,149.5,3,Loyal Regular
298,54,126.8,83.9,25.3,312.7,1,High Roller
299,30,15.4,15.8,2.7,30.5,0,Budget Shopper
300,27,33.8,27.7,6.5,14.3,0,Budget Shopper
301,60,55.0,31.8,7.5,44.5,2,Occasional Buyer
302,37,115.5,87.9,15.8,240.9,1,High Roller
303,38,107.8,72.6,30.4,178.5,1,High Roller
304,34,148.7,77.7,31.4,199.5,1,High Roller
305,43,62.6,60.0,15.0,81.6,3,Loyal Regular
306,43,49.9,61.2,17.5,110.0,3,Loyal Regular
307,35,83.7,81.4,24.1,398.9,1,High Roller
308,32,55.4,39.7,7.4,45.6,0,Budget Shopper
309,30,47.0,65.4,21.9,96.2,3,Loyal Regular
310,58,37.3,40.9,4.7,50.5,2,Occasional Buyer
311,51,68.2,42.4,6.1,58.9,2,Occasional Buyer
312,31,30.1,31.1,4.7,68.0,0,Budget Shopper
313,38,51.9,40.8,2.4,39.9,0,Budget Shopper
314,30,47.2,35.0,6.1,74.2,0,Budget Shopper
315,51,138.0,80.1,19.3,328.0,1,High Roller
316,44,92.2,95.7,20.7,359.3,1,High Roller
317,24,38.9,31.6,6.7,29.7,0,Budget Shopper
318,54,96.3,72.4,34.4,180.5,1,High Roller
319,53,46.9,32.1,6.9,82.9,2,Occasional Buyer
320,34,30.6,32.1,5.3,17.0,0,Budget Shopper
321,26,21.0,27.0,6.2,17.1,0,Budget Shopper
322,30,33.8,30.0,6.8,15.6,0,Budget Shopper
323,42,134.8,87.0,33.5,369.6,1,High Roller
324,43,55.1,36.2,3.3,41.2,2,Occasional Buyer
325,28,44.4,79.8,21.7,148.6,3,Loyal Regular
326,50,31.6,30.8,5.1,39.6,2,Occasional Buyer
327,52,98.4,80.8,17.2,384.2,1,High Roller
328,41,131.1,96.5,31.8,214.5,1,High Roller
329,40,46.4,33.3,2.2,51.6,0,Budget Shopper
330,26,24.1,26.1,5.0,20.7,0,Budget Shopper
331,37,56.2,50.6,2.5,76.6,0,Budget Shopper
332,52,136.9,91.5,38.9,154.6,1,High Roller
333,46,36.2,45.9,6.8,40.8,2,Occasional Buyer
334,36,41.5,37.7,4.8,67.3,0,Budget Shopper
335,28,34.9,14.6,6.5,27.9,0,Budget Shopper
336,31,99.1,82.4,18.0,195.3,3,Loyal Regular
337,46,31.3,52.0,3.9,63.4,2,Occasional Buyer
338,29,67.6,32.1,9.4,79.6,0,Budget Shopper
339,49,73.3,79.7,16.1,95.1,3,Loyal Regular
340,25,63.8,45.3,2.7,59.3,0,Budget Shopper
341,46,82.8,88.1,37.7,209.7,1,High Roller
342,33,116.2,83.2,18.7,232.0,1,High Roller
343,38,19.5,34.0,2.0,22.4,0,Budget Shopper
344,38,29.9,34.7,4.8,37.7,0,Budget Shopper
345,31,104.9,93.5,28.9,151.3,1,High Roller
346,44,81.5,89.9,39.1,290.0,1,High Roller
347,48,60.4,53.8,7.6,47.9,2,Occasional Buyer
348,31,79.2,61.9,28.9,71.2,3,Loyal Regular
349,33,29.0,20.6,7.3,13.3,0,Budget Shopper
350,40,51.2,56.7,26.9,82.9,3,Loyal Regular
351,35,35.8,19.9,5.7,16.1,0,Budget Shopper
352,44,98.0,83.9,36.7,331.8,1,High Roller
353,49,46.8,59.9,15.2,83.6,2,Occasional Buyer
354,26,37.2,16.5,1.1,38.0,0,Budget Shopper
355,32,111.7,98.0,22.9,276.8,1,High Roller
356,25,23.9,26.2,4.4,27.5,0,Budget Shopper
357,43,107.6,89.5,17.7,314.5,1,High Roller
358,38,81.5,91.6,25.4,172.2,3,Loyal Regular
359,36,118.3,77.0,24.8,298.6,1,High Roller
360,26,15.1,12.9,4.3,28.2,0,Budget Shopper
361,53,103.7,79.3,38.7,391.8,1,High Roller
362,45,68.5,45.5,9.4,75.7,2,Occasional Buyer
363,27,21.1,14.0,2.3,18.6,0,Budget Shopper
364,48,111.5,92.5,31.3,305.2,1,High Roller
365,38,29.4,25.2,4.0,32.1,0,Budget Shopper
366,30,25.1,11.6,2.8,17.4,0,Budget Shopper
367,44,72.7,59.8,17.3,115.8,3,Loyal Regular
368,23,30.0,26.6,2.2,37.4,0,Budget Shopper
369,50,130.8,94.5,20.3,276.5,1,High Roller
370,44,87.2,74.1,12.1,60.1,3,Loyal Regular
371,28,23.7,28.4,4.2,16.7,0,Budget Shopper
372,61,59.9,33.8,3.7,57.8,2,Occasional Buyer
373,25,25.6,22.7,2.7,13.4,0,Budget Shopper
374,29,27.6,24.9,1.5,32.5,0,Budget Shopper
375,30,16.6,33.7,7.8,34.3,0,Budget Shopper
376,41,64.5,37.8,6.3,80.4,2,Occasional Buyer
377,39,148.0,79.9,27.1,199.0,1,High Roller
378,33,24.7,34.0,7.3,15.9,0,Budget Shopper
379,38,81.3,69.7,18.4,132.0,3,Loyal Regular
380,43,60.2,73.8,21.6,121.0,3,Loyal Regular
381,34,30.4,34.5,5.4,17.8,0,Budget Shopper
382,24,23.7,33.2,6.8,39.0,0,Budget Shopper
383,33,50.7,56.7,22.7,126.5,3,Loyal Regular
384,37,32.7,30.9,5.9,30.4,0,Budget Shopper
385,35,30.0,32.6,7.9,32.3,0,Budget Shopper
386,31,57.9,79.7,24.3,145.4,3,Loyal Regular
387,60,45.7,43.1,6.1,39.9,2,Occasional Buyer
388,23,28.9,24.7,5.0,21.4,0,Budget Shopper
389,37,51.0,55.0,28.5,135.9,3,Loyal Regular
390,32,84.2,73.5,17.0,85.3,3,Loyal Regular
391,33,35.8,18.6,6.4,20.9,0,Budget Shopper
392,32,38.4,29.6,5.7,27.4,0,Budget Shopper
393,41,40.3,45.1,5.5,76.5,2,Occasional Buyer
394,38,21.0,15.1,2.8,18.2,0,Budget Shopper
395,32,36.5,41.9,7.7,44.8,0,Budget Shopper
396,25,35.0,26.2,5.9,33.9,0,Budget Shopper
397,52,96.5,81.1,16.6,350.3,1,High Roller
398,38,136.3,85.2,39.2,254.4,1,High Roller
399,31,40.0,76.8,26.3,116.5,3,Loyal Regular
400,29,63.0,79.7,20.7,148.8,3,Loyal Regular
401,33,25.4,32.1,3.3,13.7,0,Budget Shopper
402,51,142.5,75.6,17.0,209.9,1,High Roller
403,54,69.2,45.1,4.9,68.9,2,Occasional Buyer
404,39,35.7,48.8,8.2,69.5,0,Budget Shopper
405,41,31.2,31.3,3.1,42.8,0,Budget Shopper
406,56,50.7,33.5,7.4,67.2,2,Occasional Buyer
407,28,41.1,79.7,12.7,147.1,3,Loyal Regular
408,32,144.9,77.0,25.0,188.1,1,High Roller
409,22,22.9,14.2,4.9,38.1,0,Budget Shopper
410,30,60.2,41.5,4.3,84.0,0,Budget Shopper
411,43,38.1,39.9,2.3,58.5,2,Occasional Buyer
412,33,81.1,77.6,21.4,100.6,3,Loyal Regular
413,35,68.9,77.6,26.7,128.1,3,Loyal Regular
414,43,128.5,94.6,16.0,317.6,1,High Roller
415,32,85.1,60.4,27.9,110.3,3,Loyal Regular
416,56,57.0,30.1,5.7,64.3,2,Occasional Buyer
417,56,58.6,52.0,7.9,71.8,2,Occasional Buyer
418,39,60.5,59.1,16.0,88.6,3,Loyal Regular
419,36,31.5,48.6,6.4,33.5,0,Budget Shopper
420,40,143.1,89.6,22.9,213.6,1,High Roller
421,26,39.3,31.2,6.1,17.1,0,Budget Shopper
422,34,45.6,31.7,7.1,74.0,0,Budget Shopper
423,48,141.6,87.2,15.7,318.9,1,High Roller
424,31,43.9,39.3,2.0,48.0,0,Budget Shopper
425,38,119.2,92.5,28.9,288.1,1,High Roller
426,35,107.5,98.7,18.3,175.5,1,High Roller
427,26,22.3,18.2,5.7,32.6,0,Budget Shopper
428,37,39.4,22.9,3.3,33.9,0,Budget Shopper
429,59,40.7,37.2,7.3,88.1,2,Occasional Buyer
430,35,130.3,76.9,39.9,393.7,1,High Roller
431,40,141.9,83.3,23.3,262.2,1,High Roller
432,32,105.7,82.4,35.7,333.4,1,High Roller
433,40,123.4,89.5,18.8,165.3,1,High Roller
434,43,143.3,77.0,35.2,164.8,1,High Roller
435,39,149.4,78.5,24.0,246.0,1,High Roller
436,37,33.7,23.5,5.1,39.0,0,Budget Shopper
437,37,17.2,25.8,6.2,35.4,0,Budget Shopper
438,53,102.1,90.6,25.9,213.7,1,High Roller
439,43,54.1,62.5,17.0,129.4,3,Loyal Regular
440,49,35.2,44.0,8.2,72.5,2,Occasional Buyer
441,24,35.7,30.0,5.4,16.5,0,Budget Shopper
442,37,59.9,41.8,2.5,87.5,0,Budget Shopper
443,38,65.5,58.0,17.6,132.2,3,Loyal Regular
444,27,38.6,44.9,6.8,52.3,0,Budget Shopper
445,39,34.1,34.7,8.3,72.9,0,Budget Shopper
446,53,49.3,52.4,7.4,38.2,2,Occasional Buyer
447,31,55.3,35.0,5.3,75.1,0,Budget Shopper
448,27,34.1,12.6,3.3,12.3,0,Budget Shopper
449,51,50.6,43.4,4.9,51.2,2,Occasional Buyer
450,56,65.6,36.0,4.8,36.3,2,Occasional Buyer
451,36,40.4,40.9,6.7,34.4,0,Budget Shopper
452,28,55.7,57.4,15.2,148.9,3,Loyal Regular
453,39,126.0,79.3,33.6,353.8,1,High Roller
454,25,38.0,29.8,1.2,29.5,0,Budget Shopper
455,35,20.8,13.3,7.1,38.9,0,Budget Shopper
456,44,41.1,36.9,5.5,88.8,2,Occasional Buyer
457,35,67.2,58.4,28.1,66.7,3,Loyal Regular
458,29,57.1,50.9,8.9,74.9,0,Budget Shopper
459,48,92.2,73.0,31.5,341.1,1,High Roller
460,46,110.5,98.1,32.7,307.8,1,High Roller
461,34,20.4,19.4,1.3,28.5,0,Budget Shopper
462,23,35.1,32.6,5.3,39.4,0,Budget Shopper
463,44,34.1,42.6,3.8,32.3,2,Occasional Buyer
464,44,49.1,79.1,19.7,116.9,3,Loyal Regular
465,32,100.8,87.0,32.2,368.3,1,High Roller
466,39,39.7,13.8,5.2,21.4,0,Budget Shopper
467,39,29.7,19.8,4.1,37.1,0,Budget Shopper
468,45,106.0,82.9,36.1,217.0,1,High Roller
469,57,65.7,31.6,9.1,56.9,2,Occasional Buyer
470,44,98.2,97.2,31.8,290.1,1,High Roller
471,39,103.4,70.8,15.6,357.9,1,High Roller
472,29,17.9,26.2,6.2,27.5,0,Budget Shopper
473,38,82.2,63.1,24.4,146.5,3,Loyal Regular
